date_time,activity 0,activity 1,activity 2,total_activity,temperature
2021-02-28 12:30:22,0,1,0,1,9.9
2021-02-28 12:30:41,0,0,1,1,9.9
2021-02-28 12:30:41,0,0,1,1,9.9
2021-02-28 12:30:41,0,0,2,2,9.9
2021-02-28 12:30:42,0,0,1,1,9.9
2021-02-28 12:30:42,0,0,1,1,9.9
2021-02-28 12:30:43,0,0,1,1,9.9
2021-02-28 12:30:43,0,0,1,1,9.9
2021-02-28 12:30:44,0,0,2,2,9.9
2021-02-28 12:30:44,0,0,2,2,9.9
2021-02-28 12:30:44,0,0,2,2,9.9
2021-02-28 12:30:45,0,0,2,2,9.9
2021-02-28 12:30:45,0,0,2,2,9.9
2021-02-28 12:30:46,0,0,2,2,9.9
2021-02-28 12:30:46,0,0,2,2,9.9
2021-02-28 12:30:46,0,0,2,2,9.9
2021-02-28 12:30:47,0,0,2,2,9.9
2021-02-28 12:30:47,0,0,2,2,9.9
2021-02-28 12:30:48,0,0,2,2,9.9
2021-02-28 12:30:48,0,0,2,2,9.9
2021-02-28 12:30:49,0,0,2,2,9.9
2021-02-28 12:30:49,0,0,2,2,9.9
2021-02-28 12:30:49,0,0,2,2,9.9
2021-02-28 12:30:50,0,0,2,2,9.9
2021-02-28 12:30:50,0,0,2,2,9.9
2021-02-28 12:30:50,0,0,2,2,9.9
2021-02-28 12:30:51,0,0,2,2,9.9
2021-02-28 12:30:51,0,0,2,2,9.9
2021-02-28 12:30:51,0,0,2,2,9.9
2021-02-28 12:30:52,0,0,2,2,9.9
2021-02-28 12:30:52,0,0,2,2,9.9
2021-02-28 12:30:53,0,0,2,2,9.9
2021-02-28 12:30:53,0,0,2,2,9.9
2021-02-28 12:30:53,0,0,2,2,9.9
2021-02-28 12:30:54,0,0,2,2,9.9
2021-02-28 12:30:54,0,0,2,2,9.9
2021-02-28 12:30:55,0,0,2,2,9.9
2021-02-28 12:30:55,0,0,2,2,9.9
2021-02-28 12:30:55,0,0,2,2,9.9
2021-02-28 12:30:56,0,0,2,2,9.9
2021-02-28 12:30:56,0,0,2,2,9.9
2021-02-28 12:30:57,0,0,2,2,9.9
2021-02-28 12:30:57,0,0,2,2,9.9
2021-02-28 12:30:57,0,0,2,2,9.9
2021-02-28 12:30:58,0,0,2,2,9.9
2021-02-28 12:30:59,0,0,2,2,9.9
2021-02-28 12:30:59,0,0,2,2,9.9
2021-02-28 12:30:59,0,0,2,2,9.9
2021-02-28 12:31:00,0,0,2,2,9.9
2021-02-28 12:31:01,0,0,2,2,9.9
2021-02-28 12:31:01,0,0,2,2,9.9
2021-02-28 12:31:02,0,0,2,2,9.9
2021-02-28 12:31:02,0,0,2,2,9.9
2021-02-28 12:31:03,0,0,2,2,9.9
2021-02-28 12:31:03,0,0,2,2,9.9
2021-02-28 12:31:04,0,0,2,2,9.9
2021-02-28 12:31:04,0,0,3,3,9.9
2021-02-28 12:31:05,0,0,2,2,9.9
2021-02-28 12:31:05,0,0,2,2,9.9
2021-02-28 12:31:05,0,0,2,2,9.9
2021-02-28 12:31:06,0,0,2,2,9.9
2021-02-28 12:31:06,0,0,2,2,9.9
2021-02-28 12:31:06,0,0,2,2,9.9
2021-02-28 12:31:07,0,0,2,2,9.9
2021-02-28 12:31:07,0,0,2,2,9.9
2021-02-28 12:31:08,0,0,2,2,9.9
2021-02-28 12:31:08,0,0,2,2,9.9
2021-02-28 12:31:09,0,0,2,2,9.9
2021-02-28 12:31:09,0,0,1,1,9.9
2021-02-28 12:31:10,0,0,2,2,9.9
2021-02-28 12:31:10,0,0,2,2,9.9
2021-02-28 12:31:10,0,0,2,2,9.9
2021-02-28 12:31:11,0,0,1,1,9.9
2021-02-28 12:31:11,0,0,2,2,9.9
2021-02-28 12:31:12,0,0,1,1,9.9
2021-02-28 12:31:13,0,0,1,1,9.9
2021-02-28 12:31:15,0,0,1,1,9.9
2021-02-28 12:31:15,0,0,1,1,9.9
2021-02-28 12:31:15,0,0,2,2,9.9
2021-02-28 12:31:16,0,0,1,1,9.9
2021-02-28 12:31:16,0,0,2,2,9.9
2021-02-28 12:31:17,0,0,2,2,9.9
2021-02-28 12:31:17,0,0,2,2,9.9
2021-02-28 12:31:17,0,0,2,2,9.9
2021-02-28 12:31:18,0,0,1,1,9.9
2021-02-28 12:31:18,0,0,2,2,9.9
2021-02-28 12:31:18,0,0,2,2,9.9
2021-02-28 12:31:19,0,0,2,2,9.9
2021-02-28 12:31:19,0,0,2,2,9.9
2021-02-28 12:31:20,0,0,2,2,9.9
2021-02-28 12:31:20,0,0,1,1,9.9
2021-02-28 12:31:21,0,0,2,2,9.9
2021-02-28 12:31:21,0,0,2,2,9.9
2021-02-28 12:31:22,0,0,2,2,9.9
2021-02-28 12:31:22,0,0,2,2,9.9
2021-02-28 12:31:23,0,0,2,2,9.9
2021-02-28 12:31:23,0,0,1,1,9.9
2021-02-28 12:31:23,0,0,1,1,9.9
2021-02-28 12:31:24,0,0,1,1,9.9
2021-02-28 12:31:24,0,0,1,1,9.9
2021-02-28 12:31:25,0,0,1,1,9.9
2021-02-28 12:31:25,0,0,2,2,9.9
2021-02-28 12:31:25,0,0,2,2,9.9
2021-02-28 12:31:26,0,0,2,2,9.9
2021-02-28 12:31:26,0,0,2,2,9.9
2021-02-28 12:31:26,0,0,2,2,9.9
2021-02-28 12:31:27,0,0,2,2,9.9
2021-02-28 12:31:27,0,0,2,2,9.9
2021-02-28 12:31:28,0,0,2,2,9.9
2021-02-28 12:31:28,0,0,2,2,9.9
2021-02-28 12:31:28,0,0,2,2,9.9
2021-02-28 12:31:29,0,0,2,2,9.9
2021-02-28 12:31:29,0,0,2,2,9.9
2021-02-28 12:31:29,0,0,2,2,9.9
2021-02-28 12:31:30,0,0,2,2,9.9
2021-02-28 12:31:30,0,0,2,2,9.9
2021-02-28 12:31:31,0,0,2,2,9.9
2021-02-28 12:31:31,0,0,1,1,9.9
2021-02-28 12:31:31,0,0,2,2,9.9
2021-02-28 12:31:32,0,0,2,2,9.9
2021-02-28 12:31:32,0,0,2,2,9.9
2021-02-28 12:31:33,0,0,2,2,9.9
2021-02-28 12:31:52,0,1,0,1,9.9
2021-02-28 12:31:54,0,0,1,1,9.9
2021-02-28 12:31:55,0,0,2,2,9.9
2021-02-28 12:31:55,0,0,3,3,9.9
2021-02-28 12:31:55,0,0,2,2,9.9
2021-02-28 12:31:56,0,0,3,3,9.9
2021-02-28 12:31:56,0,0,3,3,9.9
2021-02-28 12:31:56,0,0,3,3,9.9
2021-02-28 12:31:57,0,0,3,3,9.9
2021-02-28 12:31:57,0,0,3,3,9.9
2021-02-28 12:31:58,0,0,3,3,9.9
2021-02-28 12:31:58,0,0,3,3,9.9
2021-02-28 12:31:58,0,0,3,3,9.9
2021-02-28 12:31:59,0,0,3,3,9.9
2021-02-28 12:31:59,0,0,3,3,9.9
2021-02-28 12:31:59,0,0,2,2,9.9
2021-02-28 12:32:00,0,0,2,2,9.9
2021-02-28 12:32:00,0,0,3,3,9.9
2021-02-28 12:32:01,0,0,3,3,9.9
2021-02-28 12:32:01,0,0,3,3,9.9
2021-02-28 12:32:01,0,0,3,3,9.9
2021-02-28 12:32:02,0,0,2,2,9.9
2021-02-28 12:32:02,0,0,2,2,9.9
2021-02-28 12:32:03,0,0,2,2,9.9
2021-02-28 12:32:03,0,0,2,2,9.9
2021-02-28 12:32:03,0,0,3,3,9.9
2021-02-28 12:32:04,0,0,3,3,9.9
2021-02-28 12:32:04,0,0,3,3,9.9
2021-02-28 12:32:04,0,0,3,3,9.9
2021-02-28 12:32:05,0,0,3,3,9.9
2021-02-28 12:32:05,0,0,3,3,9.9
2021-02-28 12:32:06,0,0,2,2,9.9
2021-02-28 12:32:06,0,0,3,3,9.9
2021-02-28 12:32:06,0,0,3,3,9.9
2021-02-28 12:32:08,0,0,1,1,9.9
2021-02-28 12:32:09,0,0,1,1,9.9
2021-02-28 12:32:09,0,0,1,1,9.9
2021-02-28 12:32:10,0,0,2,2,9.9
2021-02-28 12:32:11,0,0,2,2,9.9
2021-02-28 12:32:11,0,0,2,2,9.9
2021-02-28 12:32:12,0,0,1,1,9.9
2021-02-28 12:32:12,0,0,1,1,9.9
2021-02-28 12:32:13,0,0,1,1,9.9
2021-02-28 12:32:32,0,0,2,2,9.9
2021-02-28 12:32:33,0,0,1,1,9.9
2021-02-28 12:32:33,0,0,1,1,9.9
2021-02-28 12:32:33,0,0,1,1,9.9
2021-02-28 12:32:34,0,0,2,2,9.9
2021-02-28 12:32:34,0,0,1,1,9.9
2021-02-28 12:32:35,0,0,2,2,9.9
2021-02-28 12:32:35,0,0,2,2,9.9
2021-02-28 12:32:36,0,0,1,1,9.9
2021-02-28 12:32:36,0,0,1,1,9.9
2021-02-28 12:32:37,0,0,2,2,9.9
2021-02-28 12:32:37,0,0,2,2,9.9
2021-02-28 12:32:37,0,0,2,2,9.9
2021-02-28 12:32:38,0,0,1,1,9.9
2021-02-28 12:32:38,0,0,1,1,9.9
2021-02-28 12:32:38,0,0,1,1,9.9
2021-02-28 12:32:39,0,0,2,2,9.9
2021-02-28 12:32:39,0,0,1,1,9.9
2021-02-28 12:32:39,0,0,1,1,9.9
2021-02-28 12:32:40,0,0,1,1,9.9
2021-02-28 12:32:40,0,0,1,1,9.9
2021-02-28 12:32:41,0,0,1,1,9.9
2021-02-28 12:32:41,0,0,1,1,9.9
2021-02-28 12:32:42,0,0,1,1,9.9
2021-02-28 12:32:43,0,0,2,2,9.9
2021-02-28 12:32:43,0,0,2,2,9.9
2021-02-28 12:32:43,0,0,1,1,9.9
2021-02-28 12:32:44,0,0,1,1,9.9
2021-02-28 12:32:44,0,0,1,1,9.9
2021-02-28 12:32:45,0,0,1,1,9.9
2021-02-28 12:32:45,0,0,1,1,9.9
2021-02-28 12:32:45,0,0,2,2,9.9
2021-02-28 12:32:46,0,0,2,2,9.9
2021-02-28 12:32:46,0,0,2,2,9.9
2021-02-28 12:32:47,0,0,2,2,9.9
2021-02-28 12:32:47,0,0,2,2,9.9
2021-02-28 12:32:47,0,0,2,2,9.9
2021-02-28 12:32:48,0,0,2,2,9.9
2021-02-28 12:32:48,0,0,2,2,9.9
2021-02-28 12:32:48,0,0,1,1,9.9
2021-02-28 12:32:49,0,0,2,2,9.9
2021-02-28 12:32:49,0,0,1,1,9.9
2021-02-28 12:32:49,0,0,1,1,9.9
2021-02-28 12:32:50,0,0,1,1,9.9
2021-02-28 12:32:50,0,0,1,1,9.9
2021-02-28 12:32:51,0,0,1,1,9.9
2021-02-28 12:32:51,0,0,1,1,9.9
2021-02-28 12:32:56,0,0,2,2,9.9
2021-02-28 12:32:56,0,0,2,2,9.9
2021-02-28 12:32:57,0,0,2,2,9.9
2021-02-28 12:32:57,0,0,2,2,9.9
2021-02-28 12:32:58,0,0,2,2,9.9
2021-02-28 12:32:58,0,0,2,2,9.9
2021-02-28 12:32:58,0,0,2,2,9.9
2021-02-28 12:32:59,0,0,2,2,9.9
2021-02-28 12:32:59,0,0,2,2,9.9
2021-02-28 12:32:59,0,0,2,2,9.9
2021-02-28 12:33:00,0,0,2,2,9.9
2021-02-28 12:33:00,0,0,2,2,9.9
2021-02-28 12:33:01,0,0,2,2,9.9
2021-02-28 12:33:01,0,0,2,2,9.9
2021-02-28 12:33:01,0,0,2,2,9.9
2021-02-28 12:33:02,0,0,2,2,9.9
2021-02-28 12:33:02,0,0,2,2,9.9
2021-02-28 12:33:03,0,0,2,2,9.9
2021-02-28 12:33:03,0,0,2,2,9.9
2021-02-28 12:33:03,0,0,2,2,9.9
2021-02-28 12:33:04,0,0,2,2,9.9
2021-02-28 12:33:04,0,0,2,2,9.9
2021-02-28 12:33:04,0,0,2,2,9.9
2021-02-28 12:33:05,0,0,2,2,9.9
2021-02-28 12:33:05,0,0,2,2,9.9
2021-02-28 12:33:06,0,0,2,2,9.9
2021-02-28 12:33:06,0,0,2,2,9.9
2021-02-28 12:33:06,0,0,2,2,9.9
2021-02-28 12:33:07,0,0,2,2,9.9
2021-02-28 12:33:07,0,0,2,2,9.9
2021-02-28 12:33:07,0,0,2,2,9.9
2021-02-28 12:33:08,0,0,2,2,9.9
2021-02-28 12:33:08,0,0,2,2,9.9
2021-02-28 12:33:26,0,0,1,1,9.9
2021-02-28 12:33:37,0,0,1,1,9.9
2021-02-28 12:33:37,0,0,1,1,9.9
2021-02-28 12:33:38,0,0,1,1,9.9
2021-02-28 12:33:38,0,0,1,1,9.9
